,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
43,2017-03-12,21:00,Ligue 1,Matchweek 29,Sun,Away,W,2,1,Lorient,59.0,13643.0,Thiago Silva,4-3-3,Tony Chapron,Match Report,,12.0,6.0,,0.0,0.0,2017,Paris Saint Germain
44,2017-03-19,21:00,Ligue 1,Matchweek 30,Sun,Home,W,2,1,Lyon,51.0,47253.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,12.0,4.0,,0.0,0.0,2017,Paris Saint Germain
47,2017-04-09,21:00,Ligue 1,Matchweek 32,Sun,Home,W,4,0,Guingamp,67.0,45944.0,Blaise Matuidi,4-3-3,Ruddy Buquet,Match Report,,17.0,7.0,,0.0,0.0,2017,Paris Saint Germain
48,2017-04-14,20:45,Ligue 1,Matchweek 33,Fri,Away,W,2,0,Angers,58.0,15909.0,Blaise Matuidi,4-3-3,Tony Chapron,Match Report,,10.0,2.0,,0.0,0.0,2017,Paris Saint Germain
49,2017-04-18,18:30,Ligue 1,Matchweek 31,Tue,Away,W,3,2,Metz,78.0,20693.0,Thiago Motta,4-3-3,Johan Hamel,Match Report,,18.0,6.0,,0.0,0.0,2017,Paris Saint Germain
50,2017-04-22,17:00,Ligue 1,Matchweek 34,Sat,Home,W,2,0,Montpellier,69.0,45778.0,Thiago Silva,4-3-3,Mikael Lesage,Match Report,,19.0,9.0,,0.0,0.0,2017,Paris Saint Germain
52,2017-04-30,21:00,Ligue 1,Matchweek 35,Sun,Away,L,1,3,Nice,67.0,33190.0,Thiago Silva,4-3-3,Ruddy Buquet,Match Report,,16.0,5.0,,0.0,0.0,2017,Paris Saint Germain
53,2017-05-06,17:00,Ligue 1,Matchweek 36,Sat,Home,W,5,0,Bastia,72.0,45826.0,Thiago Silva,4-3-3,François Letexier,Match Report,,27.0,12.0,,0.0,1.0,2017,Paris Saint Germain
54,2017-05-14,21:00,Ligue 1,Matchweek 37,Sun,Away,W,5,0,Saint-Étienne,73.0,34352.0,Thiago Silva,4-3-3,Amaury Delerue,Match Report,,21.0,11.0,,0.0,0.0,2017,Paris Saint Germain
55,2017-05-20,21:00,Ligue 1,Matchweek 38,Sat,Home,D,1,1,Caen,75.0,45516.0,Maxwell,4-3-3,Johan Hamel,Match Report,,18.0,5.0,,0.0,0.0,2017,Paris Saint Germain
0,2016-08-14,17:00,Ligue 1,Matchweek 1,Sun,Home,W,1,0,Rennes,46.0,19075.0,Paul Baysse,4-3-3,Antony Gautier,Match Report,,8.0,2.0,,0.0,0.0,2017,Nice
1,2016-08-20,20:00,Ligue 1,Matchweek 2,Sat,Away,W,1,0,Angers,57.0,10142.0,Paul Baysse,4-3-3,Jérôme Miguelgorry,Match Report,,14.0,8.0,,0.0,0.0,2017,Nice
