,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
38,2017-10-30,20:00,Série A,Matchweek 31,Mon,Home,D,2,2,Cruzeiro,63.0,37961.0,Dudu,4-2-3-1,Heber Roberto Lopes,Match Report,,24,10,,0,0,2017,Palmeiras
39,2017-11-05,17:00,Série A,Matchweek 32,Sun,Away,L,2,3,Corinthians,61.0,46090.0,Dudu,4-2-3-1,Anderson Daronco,Match Report,,15,2,,0,0,2017,Palmeiras
40,2017-11-08,20:45,Série A,Matchweek 33,Wed,Away,L,1,3,Vitória,74.0,14803.0,Dudu,4-3-3,Dewson Fernando Freitas da Silva,Match Report,,12,3,,0,0,2017,Palmeiras
41,2017-11-12,17:00,Série A,Matchweek 34,Sun,Home,W,2,0,Flamengo,46.0,27831.0,Dudu,4-3-3,Braulio da Silva Machado,Match Report,,10,5,,0,0,2017,Palmeiras
42,2017-11-16,20:00,Série A,Matchweek 35,Thu,Home,W,5,1,Sport Recife,58.0,18744.0,Dudu,4-2-3-1,Rafael Traci,Match Report,,16,5,,0,0,2017,Palmeiras
43,2017-11-20,20:00,Série A,Matchweek 36,Mon,Away,L,1,2,Avaí,71.0,11082.0,Fernando Prass,4-3-3,Ricardo Marques Ribeiro,Match Report,,21,8,,0,0,2017,Palmeiras
44,2017-11-27,20:00,Série A,Matchweek 37,Mon,Home,W,2,0,Botafogo (RJ),63.0,23562.0,Dudu,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,11,6,,0,0,2017,Palmeiras
45,2017-12-03,17:00,Série A,Matchweek 38,Sun,Away,L,0,3,Ath Paranaense,65.0,12879.0,Dudu,4-3-3,Claudio Francisco Lima e Silva,Match Report,,17,1,,0,0,2017,Palmeiras
4,2017-05-14,11:00,Série A,Matchweek 1,Sun,Away,L,2,3,Fluminense,62.0,11835.0,Ricardo Oliveira,4-2-3-1,Wagner Reway,Match Report,,20,7,,0,0,2017,Santos
6,2017-05-20,16:00,Série A,Matchweek 2,Sat,Home,W,1,0,Coritiba,47.0,5921.0,Ricardo Oliveira,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,7,3,,0,0,2017,Santos
8,2017-05-28,16:00,Série A,Matchweek 3,Sun,Home,L,0,1,Cruzeiro,54.0,7025.0,Ricardo Oliveira,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,12,1,,0,0,2017,Santos
9,2017-06-03,19:00,Série A,Matchweek 4,Sat,Away,L,0,2,Corinthians,50.0,40169.0,Ricardo Oliveira,4-2-3-1,Anderson Daronco,Match Report,,6,0,,0,0,2017,Santos
10,2017-06-07,21:00,Série A,Matchweek 5,Wed,Home,W,1,0,Botafogo (RJ),61.0,14486.0,Renato,4-1-4-1,Jailson Macêdo Freitas,Match Report,,8,3,,0,0,2017,Santos
11,2017-06-11,19:00,Série A,Matchweek 6,Sun,Away,W,2,0,Ath Paranaense,43.0,18112.0,Renato,4-2-3-1,Marcelo de Lima Henrique,Match Report,,10,5,,0,0,2017,Santos
12,2017-06-14,21:45,Série A,Matchweek 7,Wed,Home,W,1,0,Palmeiras,46.0,10143.0,Renato,4-2-3-1,Wilton Sampaio,Match Report,,9,5,,0,0,2017,Santos
13,2017-06-17,21:00,Série A,Matchweek 8,Sat,Home,D,0,0,Ponte Preta,58.0,19984.0,Renato,4-2-3-1,Igor Junior Benevenuto,Match Report,,13,4,,0,0,2017,Santos
14,2017-06-21,19:30,Série A,Matchweek 9,Wed,Away,W,2,0,Vitória,41.0,7855.0,Renato,4-2-3-1,Heber Roberto Lopes,Match Report,,10,6,,0,0,2017,Santos
15,2017-06-24,19:00,Série A,Matchweek 10,Sat,Home,L,0,1,Sport Recife,57.0,7272.0,Renato,4-2-3-1,Rafael Traci,Match Report,,9,3,,0,0,2017,Santos
